place,name,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,res_density,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,intersection_density,avg_block_perimeter_meters,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu,above_trend
"""4830464""","""Grand Prairie""","""Dallas-Fort Worth-Arlington, TX""",99.74,178495.06,57436.97,46222.4,47.0,56.0,51.0,26.0,32.0,28.0,22.0,24.0,23.0,9.66,25.38,1.84,2.0,2.0,22267.0,19636.0,21225.0,1.0,1.0,1.0,12986.0,11672.0,12412.0,10035.0,9074.0,9600.0,2925.0,2580.0,2788.0,26.0,18.0,24.0,25.0,18.0,23.0,4.6,5.4,4.49,1.24,20207.0,68.0,25098.0,90.0,13.0,89.0,1309,1278.0,1256.0,900.0,62.0,38.0,1
"""4835000""","""Houston""","""Houston-The Woodlands-Sugar Land, TX""",1362.88,2356541.18,857438.35,402751.32,45.0,53.0,48.0,25.0,31.0,28.0,20.0,22.0,21.0,7.31,31.45,1.7,2.0,2.0,18478.0,16277.0,17385.0,7.0,7.0,7.0,11749.0,10422.0,11091.0,9243.0,8206.0,8728.0,2384.0,2100.0,2243.0,121.0,116.0,120.0,140.0,133.0,138.0,6.1,5.7,9.41,2.13,34884.0,48.0,66097.0,93.0,10.0,170.0,1057,1242.0,1239.0,919.0,46.0,54.0,0
"""4837000""","""Irving""","""Dallas-Fort Worth-Arlington, TX""",162.06,224901.17,82168.43,42895.64,43.0,51.0,47.0,24.0,30.0,26.0,19.0,21.0,20.0,7.65,36.18,1.65,1.0,2.0,18628.0,16369.0,17709.0,5.0,5.0,5.0,11558.0,10240.0,10984.0,8989.0,7976.0,8537.0,2447.0,2150.0,2326.0,122.0,114.0,121.0,123.0,115.0,123.0,6.5,6.3,6.04,1.92,26784.0,40.0,56136.0,92.0,11.0,121.0,1123,1188.0,1127.0,911.0,38.0,62.0,0
"""4841464""","""Laredo""","""Laredo, TX""",128.6,231161.72,61830.44,62577.1,65.0,77.0,46.0,33.0,42.0,24.0,32.0,35.0,22.0,9.21,24.75,1.78,2.0,2.0,22476.0,20213.0,20529.0,4.0,4.0,3.0,12266.0,10913.0,12087.0,9173.0,8108.0,9262.0,2954.0,2656.0,2697.0,140.0,149.0,128.0,135.0,144.0,124.0,3.3,6.7,3.42,0.99,12210.0,66.0,15567.0,87.0,17.0,79.0,2717,1080.0,1136.0,780.0,61.0,39.0,0
"""4845000""","""Lubbock""","""Lubbock, TX""",170.68,235295.49,88562.85,78486.07,55.0,64.0,47.0,28.0,36.0,24.0,27.0,29.0,23.0,8.49,23.75,1.73,2.0,2.0,20695.0,18481.0,20660.0,2.0,2.0,2.0,12221.0,10505.0,12349.0,9408.0,7980.0,9537.0,2719.0,2429.0,2714.0,94.0,97.0,98.0,83.0,84.0,86.0,4.7,3.8,2.74,1.13,15514.0,66.0,21928.0,90.0,14.0,92.0,1345,1088.0,1056.0,766.0,53.0,47.0,0
"""4856000""","""Pasadena""","""Houston-The Woodlands-Sugar Land, TX""",85.19,151019.35,48555.63,27856.94,43.0,51.0,47.0,22.0,27.0,24.0,21.0,24.0,22.0,8.74,27.12,1.81,2.0,2.0,21644.0,19028.0,20360.0,1.0,1.0,1.0,12717.0,11429.0,12068.0,9858.0,8919.0,9380.0,2843.0,2499.0,2674.0,15.0,11.0,14.0,18.0,13.0,16.0,5.6,5.0,8.7,1.74,23959.0,59.0,32517.0,91.0,10.0,175.0,1091,1088.0,1083.0,820.0,54.0,46.0,0
"""4858016""","""Plano""","""Dallas-Fort Worth-Arlington, TX""",180.02,277619.24,105355.72,45871.94,55.0,66.0,60.0,34.0,43.0,38.0,21.0,23.0,22.0,8.58,27.27,1.8,2.0,2.0,20626.0,18123.0,19634.0,3.0,3.0,3.0,12552.0,11187.0,11969.0,9815.0,8781.0,9363.0,2710.0,2381.0,2579.0,28.0,25.0,27.0,27.0,25.0,27.0,5.4,5.9,6.73,2.3,27576.0,64.0,40973.0,91.0,9.0,186.0,849,1712.0,1772.0,988.0,61.0,39.0,0
"""4865000""","""San Antonio""","""San Antonio-New Braunfels, TX""",880.8,1416915.15,489226.26,295130.96,48.0,56.0,46.0,25.0,31.0,24.0,23.0,26.0,22.0,8.29,25.33,1.76,2.0,2.0,20269.0,18103.0,19495.0,4.0,4.0,4.0,12285.0,10892.0,11875.0,9561.0,8453.0,9254.0,2663.0,2378.0,2561.0,61.0,61.0,60.0,95.0,96.0,94.0,5.0,5.4,3.56,1.66,24126.0,65.0,34577.0,90.0,19.0,102.0,1815,1096.0,1123.0,856.0,54.0,46.0,0
"""4967000""","""Salt Lake City""","""Salt Lake City, UT""",141.48,192675.4,75918.92,71152.18,43.0,50.0,47.0,23.0,28.0,26.0,20.0,21.0,20.0,7.21,34.86,1.66,1.0,2.0,19138.0,16959.0,17436.0,11.0,11.0,11.0,12524.0,10667.0,10994.0,9454.0,7930.0,8182.0,2790.0,2471.0,2541.0,280.0,265.0,272.0,252.0,239.0,245.0,4.5,8.4,3.95,1.07,26316.0,49.0,58750.0,91.0,14.0,58.0,2537,1181.0,1343.0,848.0,48.0,52.0,0
"""5103000""","""Arlington""","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",181.0,223945.0,98441.0,16634.73,40.0,49.0,66.0,30.0,37.0,51.0,11.0,12.0,15.0,5.05,69.73,1.39,1.0,1.0,13494.0,11415.0,12290.0,26.0,25.0,26.0,9848.0,8575.0,8280.0,7911.0,6930.0,6511.0,1871.0,1582.0,1703.0,67.0,62.0,66.0,33.0,31.0,33.0,7.0,9.8,10.38,5.92,67131.0,28.0,120016.0,90.0,9.0,228.0,929,2280.0,2297.0,1762.0,44.0,56.0,0
